iter	MultiClass
0	0.6794332537
1	0.6667929049
2	0.6562622614
3	0.6471948709
4	0.6406388021
5	0.632874161
6	0.6284556116
7	0.6228452927
8	0.6161575414
9	0.6108477309
10	0.6051459343
11	0.6005720535
12	0.5959662085
13	0.5923445676
14	0.5893848083
15	0.5857069167
16	0.5817862939
17	0.5785763332
18	0.576179465
19	0.5735386533
20	0.5726611024
21	0.5694886223
22	0.567187858
23	0.5624418685
24	0.5605537996
25	0.5589181845
26	0.5548962388
27	0.5515925088
28	0.5485069964
29	0.5444790711
30	0.5402244269
31	0.5390038375
32	0.5348470972
33	0.5332039263
34	0.530814616
35	0.528508647
36	0.5270758898
37	0.5255286335
38	0.5223834656
39	0.5204994301
40	0.5203074399
41	0.5179615208
42	0.5150064711
43	0.5126513675
44	0.5097358411
45	0.5070506641
46	0.5049983916
47	0.4994895761
48	0.4982168338
49	0.4967938261
50	0.4926953019
51	0.4913454234
52	0.488145983
53	0.4855614339
54	0.4828493779
55	0.4802787089
56	0.4785431651
57	0.4760569483
58	0.4745628112
59	0.4733793677
60	0.4716805016
61	0.4693184111
62	0.4669323173
63	0.4641289851
64	0.4631709945
65	0.4613502181
66	0.4591763848
67	0.4571865782
68	0.456312707
69	0.4536074859
70	0.4518256517
71	0.4502131131
72	0.4495847959
73	0.4469485442
74	0.44474204
75	0.4421504418
76	0.4397286835
77	0.4372531656
78	0.4355816827
79	0.4328735799
80	0.4307551308
81	0.42818045
82	0.425899459
83	0.4241918762
84	0.4208591496
85	0.4193469327
86	0.4170671604
87	0.4133312891
88	0.4115379405
89	0.4086207431
90	0.4058479616
91	0.4029415274
92	0.4009494532
93	0.3987155249
94	0.3968440941
95	0.3949220248
96	0.3931298887
97	0.3908112908
98	0.3898953139
99	0.3875880942
100	0.3866762378
101	0.3843313832
102	0.3814926483
103	0.3796318521
104	0.3764133037
105	0.3750422423
106	0.3719495171
107	0.3698183919
108	0.3676732559
109	0.3664350714
110	0.364728854
111	0.3626208886
112	0.3599888566
113	0.3579321016
