iter	Passed	Remaining
0	5	5361
1	11	5638
2	17	5768
3	23	5764
4	29	5926
5	36	6056
6	37	5362
7	44	5463
8	50	5580
9	58	5772
10	65	5865
11	72	5957
12	78	5956
13	84	5945
14	90	5919
15	96	5921
16	102	5924
17	113	6178
18	119	6154
19	126	6214
20	127	5935
21	130	5813
22	136	5813
23	142	5808
24	149	5811
25	155	5842
26	162	5855
27	168	5844
28	174	5855
29	181	5861
30	187	5851
31	193	5845
32	200	5863
33	205	5850
34	211	5843
35	218	5849
36	224	5842
37	230	5825
38	236	5823
39	242	5816
40	242	5681
41	249	5686
42	255	5695
43	262	5701
44	268	5708
45	275	5712
46	281	5704
47	288	5717
48	295	5733
49	302	5744
50	309	5752
51	315	5760
52	322	5769
53	330	5782
54	336	5780
55	342	5781
56	349	5789
57	356	5795
58	364	5813
59	370	5808
60	377	5807
61	383	5808
62	390	5804
63	397	5807
64	403	5803
65	409	5793
66	416	5797
67	422	5797
68	429	5794
69	435	5788
70	441	5783
71	448	5775
72	454	5771
73	463	5800
74	469	5796
75	476	5787
76	482	5782
77	488	5776
78	495	5778
79	502	5777
80	508	5769
81	514	5761
82	521	5763
83	527	5756
84	534	5749
85	540	5741
86	546	5737
87	553	5733
88	560	5733
89	566	5731
90	572	5721
91	579	5714
92	584	5702
93	591	5700
94	597	5687
95	603	5686
96	610	5683
97	616	5671
98	621	5660
99	629	5665
100	635	5658
101	642	5654
102	648	5651
103	654	5639
104	660	5632
105	667	5625
106	673	5623
107	680	5616
108	686	5615
109	693	5607
110	700	5613
111	707	5611
112	714	5612
113	721	5609
